position,token_id,step_time_sec,speed_it_s
0,32013,0.0848231670097448,11.789232060683567
1,2962,0.03018654100014828,33.12734638907743
2,435,0.03772854097769596,26.50513309250871
3,303,0.03651041601551697,27.38944414040637
4,8891,0.038434082991443574,26.018573156087164
5,9401,0.04084150001290254,24.484898930844423
6,276,0.048182458005612716,20.75444137539665
7,245,0.050458666984923184,19.81820091083253
8,6237,0.058728375006467104,17.027544179280987
9,486,0.06763954201596789,14.784251492476496
10,82,0.05332929198630154,18.75142089373445
11,1486,0.045225792011478916,22.111276674738754
12,30,0.05225766700459644,19.135948030593152
13,185,0.046661750006023794,21.43082931675098
14,1080,0.04801687502185814,20.826011679118686
15,264,0.05343633299344219,18.71385897910925
16,2449,0.04568533302517608,21.888863094177825
17,686,0.055266583018237725,18.094116650381743
18,10372,0.05014041700633243,19.943990491218017
19,285,0.05065491600544192,19.741420554178173
20,686,0.04902054200647399,20.399611245994244
21,4201,0.050765042018610984,19.698594943216825
22,387,0.048993875010637566,20.41071460020012
23,25,0.05055816698586568,19.779198092358953
24,185,0.051189874997362494,19.535113145939974
25,49,0.051271542004542425,19.503996971875832
26,1002,0.05125654200674035,19.50970472936894
27,21759,0.051829167001415044,19.29415535412132
28,533,0.05231408300460316,19.11531164394125
29,22772,0.05930262498441152,16.86265996257102
30,254,0.05204091701307334,19.215649096821014
31,9337,0.050771583017194644,19.696057136160857
32,2229,0.05202812500647269,19.220373593620614
33,6583,0.05976141698192805,16.73320430642402
34,82,0.0614705000189133,16.26796592987399
35,280,0.07123541701002978,14.037960918502131
36,3626,0.06004991600639187,16.65281263496784
37,11,0.06672200001776218,14.987560320940442
38,185,0.06757866698899306,14.797569182044919
39,2270,0.06885429102112539,14.523423089102566
40,6237,0.06761699999333359,14.789180237197609
41,486,0.0636158749985043,15.719346782914037
42,82,0.06834333398728631,14.632004932419989
43,24986,0.06575266699655913,15.208508577337716
44,15869,0.062459165987093,16.010460341507713
45,519,0.06674462498631328,14.982479865682981
46,1646,0.06971187502495013,14.344758330515374
47,2567,0.06785570801002905,14.737153724078752
48,245,0.06890541699249297,14.512647098688145
49,4278,0.06488499999977648,15.411882561507973
50,26,0.06463837501360103,15.470685947621403
51,185,0.06819649998215027,14.663509128206574
52,50,0.06624016701243818,15.0965802941322
53,3175,0.06860075000440702,14.577100103654237
54,590,0.066015000018524,15.148072403535515
55,1646,0.06506662498577498,15.368862304117085
56,3536,0.07173525000689551,13.940147973330761
57,254,0.06324491699342616,15.811547354927237
58,6009,0.06844129101955332,14.611062782470091
59,280,0.06609437498264015,15.129880572479163
60,11729,0.06551804201444611,15.262971377861222
61,467,0.06648591699195094,15.040779239324683
62,1444,0.06359637499554083,15.72416666940713
63,11,0.06590083398623392,15.174314792569861
64,185,0.06710250000469387,14.902574418688562
65,2270,0.08921550001832657,11.208814609508224
66,2741,0.08704158398904838,11.488761511116579
67,317,0.09298108299844898,10.754875806476475
68,583,0.0866626670176629,11.538994060685761
69,5290,0.08837487499113195,11.31543326200287
70,4287,0.09147879199008457,10.931495467368988
71,277,0.08915016599348746,11.217029030243772
72,4158,0.09627324997563846,10.387101300237042
73,76,0.08853258300223388,11.295276451775587
74,6,0.09831625001970679,10.171258564068069
75,67,0.09483683298458345,10.544426342901588
76,26,0.08988741697976366,11.1250276579327
77,185,0.09628770800190978,10.385541630923086
78,2270,0.09015383297810331,11.092151791736702
79,1129,0.09033816700684838,11.069518378917206
80,4759,0.09099250001600012,10.989916749448142
81,473,0.10113895800895989,9.887386815982524
82,4759,0.09844462500768714,10.157994912590851
83,4756,0.09963024998432957,10.037112224021177
84,590,0.10186029100441374,9.817368379172102
85,4240,0.09652545800781809,10.359961202349384
86,1444,0.10310958299669437,9.698419593376295
87,11,0.09654999998747371,10.357327810768917
88,185,0.10159941701567732,9.84257616208265
89,2704,0.100492249999661,9.951016123167442
90,5504,0.09889700001804158,10.11153017601719
91,409,0.09836687499773689,10.16602387768247
92,4902,0.10361816702061333,9.65081731083956
93,486,0.09498741599963978,10.527710323268424
94,82,0.10173362499335781,9.829591740835836
95,7999,0.09859608300030231,10.142390747885328
96,2617,0.10098908402142115,9.90206030374418
97,403,0.10779545799596235,9.2768287142252
98,648,0.10371879098238423,9.641454460936028
99,15679,0.11281320799025707,8.864210297843524
100,6,0.10409195799729787,9.606890092565644
101,67,0.09892733299057,10.108429791545301
102,26,0.09938633401179686,10.061745510014516
103,185,0.09919466701103374,10.081187125601891
104,2385,0.10008466697763652,9.991540464669235
105,8066,0.0984608749859035,10.156318437584153
106,23644,0.09812866698484868,10.190701970448682
107,6237,0.09652712498791516,10.3597822904722
108,2777,0.09821975001250394,10.181251732698303
109,441,0.09947508299956098,10.052768691878482
110,28895,0.10032962501281872,9.967145794397556
111,11,0.09750591599731706,10.2557879670349
112,185,0.09795699999085627,10.208560900122954
113,27449,0.09900262500741519,10.100742277541642
114,8437,0.09971025001141243,10.029059197881303
115,14848,0.09921062501962297,10.079565568730255
116,280,0.10112862498499453,9.888397079940324
117,344,0.09942679200321436,10.057651261318691
118,4759,0.09893179198843427,10.107974190105706
119,7865,0.09759583298000507,10.246339105532044
120,24962,0.09986870901775546,10.013146358207273
121,486,0.09904795899637975,10.096119194506073
122,292,0.1007872500049416,9.921889921105794
123,26,0.09876333299325779,10.125215195686707
124,185,0.09994712498155423,10.005290299091198
125,27449,0.0996599999780301,10.0341159965929
126,2777,0.09857737499987707,10.144315569381384
127,4337,0.10063758300384507,9.936645636270825
128,1571,0.0991248749778606,10.088285107278557
129,361,0.09955700000864454,10.044497121379411
130,7865,0.10038320801686496,9.961825486111126
131,259,0.09770041599404067,10.235370953394876
132,8326,0.09559804201126099,10.460465287376962
133,486,0.09576645900961012,10.442069283355778
134,292,0.09694516600575298,10.315109470653312
135,279,0.09719775000121444,10.288303998678009
136,583,0.0958986250043381,10.427678185737946
137,17988,0.09630754200043157,10.383402786829706
138,11,0.0985660000005737,10.14548627309802
139,185,0.09960679200594313,10.03947602228103
140,3274,0.10122350000892766,9.87912885754595
141,279,0.09897300001466647,10.103765671969258
142,23644,0.09887187500135042,10.1140996869569
143,4290,0.09963475001859479,10.036658894746767
144,276,0.10169391598901711,9.833429957678092
145,761,0.09940691699739546,10.059662146309204
146,7865,0.10025712501374073,9.974353442340831
147,2544,0.09831483301240951,10.171405161963484
148,486,0.09955129100126214,10.045073147141022
149,292,0.1004049580078572,9.959667528786227
150,25,0.10081212501972914,9.919441731877965
151,185,0.09934687500935979,10.065741875683425
152,243,0.09971241600578651,10.028841342506112
153,2074,0.09623358299722895,10.391382808938904
154,1232,0.09677458301302977,10.333291747331627
155,372,0.0969367919897195,10.316000555352128
156,1736,0.09917187498649582,10.083504019019196
157,482,0.09975087500060908,10.02497471820567
158,29772,0.09841566599789076,10.160983923244821
159,409,0.09738524997374043,10.268495488481534
160,3530,0.09570770899881609,10.448479129433242
161,482,0.09701241698348895,10.307958827272547
162,1016,0.09847620798973367,10.154737072169269
163,11,0.09956591701484285,10.043597548053762
164,185,0.09532287498586811,10.490661345959749
165,243,0.09948479200829752,10.051787613091609
166,2074,0.10017037502257153,9.982991476019418
167,1232,0.1003862920042593,9.96151944687399
168,6106,0.0996057910087984,10.039576914877046
169,437,0.0998997499991674,10.010035060231226
170,11,0.09965829201973975,10.034287962730946
171,285,0.10018441698048264,9.98159224897036
172,437,0.09782258298946545,10.222588378265277
173,4368,0.09854166698642075,10.14799151041155
174,1720,0.10050962498644367,9.949295902107643
175,276,0.10022662501432933,9.977388741335256
176,9401,0.10044933299650438,9.955267697345485
177,13,0.09650170800159685,10.362510889273095
178,32022,0.0951781669864431,10.506611249851419
